clinic_name,specialty,area,rating,reviews,booking_start_time,clinic_open_time,clinic_close_time,current_state,current_serving_token,queue_length,avg_consult_time_min,phone_booking_supported,walkin_supported,emergency_supported,prediction_accuracy
City Dental Clinic,Dental,Ballygunge,4.6,120,7:00,10:00,19:00,booking_open,12,18,8,TRUE,TRUE,FALSE,high
Life Care Polyclinic,General,Salt Lake,4.3,98,8:00,11:00,20:00,live,15,22,10,TRUE,TRUE,TRUE,medium
Sunrise Heart Clinic,Cardio,Park Street,4.8,210,9:00,15:00,22:00,closed,0,0,12,TRUE,TRUE,TRUE,high
Kids Care Pediatric,Pediatric,New Town,4.5,150,7:30,12:00,18:00,booking_open,8,14,9,TRUE,TRUE,TRUE,high
SkinPlus Clinic,Dermatology,Gariahat,4.4,87,10:00,14:00,21:00,live,20,30,7,TRUE,TRUE,FALSE,medium
OrthoCare Center,Orthopedic,Behala,4.2,65,8:30,13:00,19:00,booking_open,5,10,11,TRUE,TRUE,FALSE,medium
Apollo Emergency Unit,Emergency,EM Bypass,4.7,300,0:00,0:00,23:59,live,25,40,6,TRUE,TRUE,TRUE,high
Medico Eye Clinic,Ophthalmology,Rajarhat,4.5,110,8:00,12:00,18:00,booking_open,6,12,9,TRUE,TRUE,FALSE,high
Care & Cure ENT,ENT,Dum Dum,4.1,70,9:00,13:00,20:00,live,18,25,8,TRUE,TRUE,FALSE,medium
Healthy Smile Dental,Dental,Tollygunge,4.3,95,7:30,10:30,18:30,booking_open,10,16,7,TRUE,TRUE,FALSE,high
Pulse Diagnostic Center,General,Howrah,4,60,8:00,11:00,19:00,closed,0,0,10,TRUE,TRUE,TRUE,medium
Fortis Emergency Care,Emergency,Anandapur,4.8,340,0:00,0:00,23:59,live,30,50,5,TRUE,TRUE,TRUE,high
SkinCare Advanced,Dermatology,Park Circus,4.6,140,10:00,15:00,21:00,live,22,28,6,TRUE,TRUE,FALSE,high
Bone & Joint Clinic,Orthopedic,Barasat,4.2,85,9:00,14:00,20:00,booking_open,7,15,10,TRUE,TRUE,FALSE,medium
Child Wellness Center,Pediatric,Kestopur,4.4,130,8:00,12:30,19:00,booking_open,9,17,8,TRUE,TRUE,TRUE,high
Green Leaf Clinic,General,Bagbazar,4.1,75,8:30,11:30,19:30,live,14,20,9,TRUE,TRUE,FALSE,medium
